Code,Description
YV,Mesa Airlines Inc.
YX,Republic Airline
Z3,"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service"
Z3Q,"PM Air, LLC"
ZA,Accessair Holdings
ZAQ,Zas Airline Of Egypt
ZB,Monarch Airlines
ZE,Eastar Jet Co Ltd.
ZF,AZUR Air LLC
ZFZ,Mcphillips Flying Service
ZG,ZIPAIR Tokyo Inc.
ZIA,Air New Mexico
ZK,Great Lakes Airlines
ZKQ,Zantop International
ZL,Affretair
ZMZ,Winnipesaukee Aviation Inc.
ZN,Key Airlines Inc.
ZO,Florida Express Inc.
ZP,Air St. Thomas
ZPQ,"Silk Way Airlines, LLC"
ZQ,Caribbean Sun Airlines
ZS,Hispaniola Airways
ZU,"Aerovias Colombianas, Arca"
ZUQ,Zuliana De Aviacion
ZV,Air Midwest Inc.
ZW,Air Wisconsin Airlines Corp
ZX,Air Georgian
ZY,Atlantic Gulf Airlines
ZYZ,Skyway Aviation Inc.
